,gprs_ticket_id,waybill_no,schedule_no,trip_no,etim_no,route_no,route_id,transaction_no,ticket_no,tkt_type_short_code,tkt_sub_type_short_code,from_stop_seq_no,from_bus_stop_code_english,from_bus_stop_id,till_stop_seq_no,till_bus_stop_code_english,till_bus_stop_id,travelled_km,px_count,lugg_units,px_total_amount,lugg_total_amount,toll_amt,total_ticket_amount,concession_type,group_ticket_mode,payment_mode,ticket_date,ticket_time,upload_flag,bus_service_id,fare_type,depot_id,vehicle_no,ticket_code,pass_id_no,epurse_card_no,epurse_card_issuer_name,epurse_curr_amount_qstr,epurse_last_amount_qstr,epurse_last_waybill_no_qstr,epurse_last_tkt_no,epurse_last_tkt_date,epurse_last_tkt_time,epurse_last_from_stop_code,epurse_last_to_stop_code,tkt_printed_flag,shift_no,trip_status,trip_end_condition,waybill_type,schedule_id,conductor_token_id,rate_fare_id,service_tax_amt,stage_ticket,inserted_by,inserted_date
0,261290327,D3416081400023,378/2,5,325-744-281,378DN,32602,218,197,1,AD,33,JDS,738,35,GTR2,93,,1,0,5,0,0,5,0,0,0,8/14/2016,12:21:10,N,1,N,38,KA01FA1902,,,0,0,0,0,0,0,0,0,0,0,Y,1,N,0,T,30663,3673,12,0,0,1,8/14/2016 12:26
1,261290328,D1016081400287,302F/1,7,325-718-641,302-FDN,19401,63,52,1,AD,12,ITC FY,627,18,CSIH1,456,,1,0,12,0,0,12,0,0,0,8/14/2016,12:20:12,N,1,N,41,KA01F9396,,,0,0,0,0,0,0,0,0,0,0,Y,1,N,0,T,26346,7751,12,0,0,1,8/14/2016 12:26
2,261290329,D1016081400287,302F/1,7,325-718-641,302-FDN,19401,64,53,1,AD,12,ITC FY,627,25,KBS123,8456,,1,0,17,0,0,17,0,0,0,8/14/2016,12:22:22,N,1,N,41,KA01F9396,,,0,0,0,0,0,0,0,0,0,0,Y,1,N,0,T,26346,7751,12,0,0,1,8/14/2016 12:26
3,261290330,D0816081400212,79B/1,11,325-718-231,89-CDN,20360,189,164,1,AD,12,CNTRLT,5355,15,KBS123,8456,,1,0,5,0,0,5,0,0,0,8/14/2016,12:22:53,N,1,N,39,KA01F3573,,,0,0,0,0,0,0,0,0,0,0,Y,1,N,0,T,30741,5145,12,0,0,1,8/14/2016 12:26
4,261290331,D1016081400205,301D/2,4,325-718-607,301-DUP,25966,79,70,1,AD,36,HRNH1,1708,38,AVH-1,604,,1,0,5,0,0,5,0,0,0,8/14/2016,10:47:47,N,1,N,41,KA01F4759,,,0,0,0,0,0,0,0,0,0,0,Y,1,N,0,T,29463,10984,12,0,0,1,8/14/2016 12:26
5,261290332,D1016081400205,301D/2,4,325-718-607,301-DUP,25966,80,71,1,SC,36,HRNH1,1708,49,HSKSTP,618,,1,0,17,0,3,17,0,0,0,8/14/2016,10:48:20,N,1,N,41,KA01F4759,,,0,0,0,0,0,0,0,0,0,0,Y,1,N,0,T,29463,10984,12,0,0,1,8/14/2016 12:26
6,261290333,D1016081400205,301D/2,4,325-718-607,301-DUP,25966,81,72,1,AD,36,HRNH1,1708,49,HSKSTP,618,,1,0,22,0,3,22,0,0,0,8/14/2016,10:48:49,N,1,N,41,KA01F4759,,,0,0,0,0,0,0,0,0,0,0,Y,1,N,0,T,29463,10984,12,0,0,1,8/14/2016 12:26
7,261290334,D1016081400205,301D/2,4,325-718-607,301-DUP,25966,82,73,1,AD,36,HRNH1,1708,38,AVH-1,604,,1,0,5,0,0,5,0,0,0,8/14/2016,10:49:10,N,1,N,41,KA01F4759,,,0,0,0,0,0,0,0,0,0,0,Y,1,N,0,T,29463,10984,12,0,0,1,8/14/2016 12:26
8,261290335,D1016081400205,301D/2,4,325-718-607,301-DUP,25966,83,74,1,AD,38,AVH-1,604,41,BDC-1,1523,,2,0,10,0,0,10,0,0,0,8/14/2016,10:53:48,N,1,N,41,KA01F4759,,,0,0,0,0,0,0,0,0,0,0,Y,1,N,0,T,29463,10984,12,0,0,1,8/14/2016 12:26
9,261290336,D1016081400205,301D/2,4,325-718-607,301-DUP,25966,84,75,1,AD,38,AVH-1,604,41,BDC-1,1523,,1,0,5,0,0,5,0,0,0,8/14/2016,10:55:15,N,1,N,41,KA01F4759,,,0,0,0,0,0,0,0,0,0,0,Y,1,N,0,T,29463,10984,12,0,0,1,8/14/2016 12:26
