route_id,route_number,route_direction,source_id,destination_id,source_name,destination_name,route_type_id,route_name,via,google_distance,google_time,deleted_status
26666,1,DOWN,8905,322,New Railway Station Yeshwanthapura,9th Block Jayanagara (40th Cross),3,Yashawanthapura New Railway Station To Jayanagara 9th Block,Basavanagudi Police Station,21122,4722,0
26761,1,UP,322,8905,9th Block Jayanagara (40th Cross),New Railway Station Yeshwanthapura,3,Jayanagara 9th Block To Yashawanthapura New Railway Station,Gandhi Bazaar,19568,4457,0
24884,2,DOWN,648,8456,JP Nagara 6th Phase,Kempegowda Bus Station,3,JP Nagara 6th Phase To Kempegowda Bus Station,Jayanagara,11068,2437,0
24886,2,UP,160,715,Kempegowda Bus Station,JP Nagara 6th Phase,3,Kempegowda Bus Station To JP Nagara 6th Phase ,Jayanagara,16184,3534,0
25129,4,DOWN,2937,8456,Jayanagara TTMC,Kempegowda Bus Station,3,Jayanagara TTMC To Kempegowda Bus Station,,7187,1535,0
36750,4,UP,160,11271,Kempegowda Bus Station,Jayanagara TTMC,3,Kempegowda Bus Station To Jayanagara TTMC,,8934,1740,0
20187,12,UP,160,4140,Kempegowda Bus Station,Banashankari TTMC,3,Kempegowda Bus Station To Banashankari TTMC,Vijaya College,11474,2148,0
28429,12,DOWN,9,8456,Banashankari TTMC,Kempegowda Bus Station,3,Banashankari TTMC To Kempegowda Bus Station,Vijaya College,8942,1834,0
31624,13,DOWN,9,6358,Banashankari TTMC,Shivajinagara Bus Station,3,Banashankari TTMC To Shivajinagara Bus Station,Richmond Circle,10763,2283,0
31625,13,UP,480,4140,Shivajinagara Bus Station,Banashankari TTMC,3,Shivajinagara Bus Station To Banashankari TTMC,KH Road,11439,2394,0
45395,18,UP,160,10273,Kempegowda Bus Station,Marenahalli Bus Stand,3,Kempegowda Bus Station To Jayanagara 9th Block Atal Bihari Vajapeyi Bus Stand,Lalbagh West Gate,10683,2033,0
45396,18,DOWN,10273,8456,Marenahalli Bus Stand,Kempegowda Bus Station,3,Jayanagara 9th Block Atal Bihari Vajapeyi Bus Stand To Kempegowda Bus Station,Lalbagh West Gate,9142,1954,0
24181,20,DOWN,480,322,Shivajinagara Bus Station,9th Block Jayanagara (40th Cross),3,Shivajinagara Bus Station To Jayanagara 9th Block,Jayanagara,11397,2382,0
24183,20,UP,10273,6358,Marenahalli Bus Stand,Shivajinagara Bus Station,3,Jayanagara 9th Block Atal Bihari Vajapeyi Bus Stand To Shivajinagara Bus Station,Shanthinagara,15255,3313,0
27407,21,DOWN,9390,268,Byrasandra New Bus Stand,KR Market,3,Byrasandra New Bus Stand Jayanagara To KR Market,Basappa Park,7036,1743,0
27408,21,UP,268,9390,KR Market,Byrasandra New Bus Stand,3,KR Market To Byrasandra New Bus Stand Jayanagara,Ashoka Pillar,6208,1412,0
3599,22,DOWN,9390,8456,Byrasandra New Bus Stand,Kempegowda Bus Station,3,Byrasandra New Bus Stand Jayanagara To Kempegowda Bus Station,Ashoka Pillar,8700,1229,0
26563,22,UP,160,9390,Kempegowda Bus Station,Byrasandra New Bus Stand,3,Kempegowda Bus Station To Byrasandra New Bus Stand,Ashoka Pillar,9872,1816,0
22580,24,DOWN,27,9230,BTM Layout Kuvempu Nagara,KR Market,3,BTM Layout To KR Market,Uttarahalli South End Circle,13262,3205,0
28483,24,UP,268,28,KR Market,BTM Layout Kuvempu Nagara ,3,KR Market To BTM Layout,RV College ,9925,2178,0
22543,25,UP,160,9387,Kempegowda Bus Station,BTM Layout Kuvempu Nagara ,3,Kempegowda Bus Station To BTM Layout,Jayanagara,19088,3935,0
25981,25,DOWN,9387,8456,BTM Layout Kuvempu Nagara ,Kempegowda Bus Station,3,BTM Layout To Kempegowda Bus Station,Lalbagh West Gate,12879,2823,0
26579,26,DOWN,9390,8456,Byrasandra New Bus Stand,Kempegowda Bus Station,3,Byrasandra New Bus Stand Jayanagara To Kempegowda Bus Station,Ashoka Pillar,9260,2155,0
27855,26,UP,160,9390,Kempegowda Bus Station,Byrasandra New Bus Stand,3,Kempegowda Bus Station To Byrasandra New Bus Stand,Ashoka Pillar,11383,2272,0
19046,27,UP,480,9410,Shivajinagara Bus Station,Mahadeshwara Nagara,3,Shivajinagara Bus Station To Mahadeshwaranagara BTM Layout,Ashoka Pillar,14573,2927,0
33975,27,DOWN,9410,6358,Mahadeshwara Nagara,Shivajinagara Bus Station,3,Mahadeshwaranagara BTM Layout To Shivajinagara Bus Station,Bengaluru Club,15540,3491,0
