route_no,distance,origin,destination,time,departure_from_origin,arrival_at_destination,departure_from_destination,arrival_at_origin
263P,12 KM,8th Mile T Dasarahalli,Madanayakanahalli,00:35 Min.,"08:35,  09:55,  11:40,  13:00,  14:20,  15:40,  17:25","09:10,  10:30,  12:15,  13:35,  14:55,  16:15,  18:00","07:55, 09:15, 11:00, 12:20, 13:40, 15:00, 16:45","08:30, 09:50, 11:35, 12:55, 14:15, 15:35, 17:20"
BC-7B,10.5 KM,8th Mile T Dasarahalli,Byadarahalli,00:35 Min.,"07:30,  07:50,  08:25,  08:40,  09:00,  09:15,  09:35,  09:50,  10:10,  10:25,  10:45,  11:25,  11:45,  12:00,  12:20,  12:35,  12:55,  13:10,  13:30,  13:45,  14:05,  14:20,  14:40,  15:20,  15:40,  15:55,  16:15,  16:30,  16:50,  17:05,  17:25,  17:40,  18:00,  18:15,  18:35,  19:25","08:00,  08:20,  08:55,  09:10,  09:30,  09:45,  10:05,  10:20,  10:40,  10:55,  11:15,  11:55,  12:15,  12:30,  12:50,  13:05,  13:25,  13:40,  14:00,  14:15,  14:35,  14:50,  15:10,  15:50,  16:10,  16:25,  16:45,  17:00,  17:20,  17:35,  17:55,  18:10,  18:30,  18:45,  19:05,  19:55","07:15, 08:05, 08:25, 08:40, 09:00, 09:15, 09:35, 09:50, 10:10, 10:50, 11:10, 11:25, 11:45, 12:00, 12:20, 12:35, 12:55, 13:10, 13:30, 13:45, 14:05, 14:20, 14:40, 14:55, 15:15, 15:55, 16:15, 16:30, 16:50, 17:05, 17:25, 17:40, 18:00, 18:50","07:45, 08:35, 08:55, 09:10, 09:30, 09:45, 10:05, 10:20, 10:40, 11:20, 11:40, 11:55, 12:15, 12:30, 12:50, 13:05, 13:25, 13:40, 14:00, 14:15, 14:35, 14:50, 15:10, 15:25, 15:45, 16:25, 16:45, 17:00, 17:20, 17:35, 17:55, 18:10, 18:30, 19:20"
270D,17.3 KM,Abbigere Village,Shivajinagar Bus Station,01:00 Min.,"05:55,  07:35,  08:20,  09:55,  12:05,  14:40,  16:45,  18:20","06:50,  08:25,  09:20,  10:55,  13:05,  15:40,  17:45,  19:15","06:55, 08:30, 11:00, 13:10, 15:45, 16:55","07:50, 09:25, 12:00, 14:10, 16:45, 17:50"
BC-8A,8.3 KM,Abbigere Village,Peenya 2nd stage,00:35 Min.,"08:00,  08:20,  08:40,  09:00,  09:20,  09:40,  10:25,  10:45,  11:05,  11:25,  11:45,  12:05,  12:25,  12:45,  13:05,  13:25,  13:45,  14:05,  14:25,  14:45,  15:05,  15:25,  15:45,  16:05,  16:25,  16:45,  17:05,  17:50,  18:10,  18:30","08:25,  08:45,  09:05,  09:25,  09:45,  10:05,  10:50,  11:10,  11:30,  11:50,  12:10,  12:30,  12:50,  13:10,  13:30,  13:50,  14:10,  14:30,  14:50,  15:10,  15:30,  15:50,  16:10,  16:30,  16:50,  17:10,  17:30,  18:15,  18:35,  18:55","07:30, 07:50, 08:10, 08:30, 08:50, 09:10, 09:30, 10:15, 10:35, 10:55, 11:15, 11:35, 11:55, 12:15, 12:35, 12:55, 13:15, 13:35, 13:55, 14:15, 14:35, 14:55, 15:15, 15:35, 15:55, 16:15, 16:35, 17:20, 17:40, 18:00","07:55, 08:15, 08:35, 08:55, 09:15, 09:35, 09:55, 10:40, 11:00, 11:20, 11:40, 12:00, 12:20, 12:40, 13:00, 13:20, 13:40, 14:00, 14:20, 14:40, 15:00, 15:20, 15:40, 16:00, 16:20, 16:40, 17:00, 17:45, 18:05, 18:25"
257G,22.5 KM,Adakamaranahalli,Kempegowda Bus Station,01:15 Min.,"05:45,  08:00,  10:50,  11:10,  14:05,  15:10,  17:00,  17:30,  20:00","06:45,  09:05,  12:00,  12:20,  15:15,  16:15,  18:10,  18:40,  21:10","06:50, 09:10, 09:50, 12:50, 15:45, 16:20, 18:15, 18:45, 21:40","07:55, 10:20, 11:05, 14:00, 16:55, 17:25, 19:25, 19:55, 22:45"
256K,29.4 KM,Adarsha Nagara,Kempegowda Bus Station,01:25 Min.,"08:55,  12:10","10:20,  13:25","10:25, 16:10","11:40, 17:25"
165E,10.2 KM,Adugodi Police Quarters,Kempegowda Bus Station,00:35 Min.,"06:00,  07:20,  11:10,  16:45,  18:15,  20:15,  22:15","06:35,  07:55,  11:50,  17:25,  18:55,  20:55,  22:50","05:20, 06:40, 08:00, 16:00, 17:30, 19:30, 21:35","05:55, 07:15, 08:40, 16:40, 18:10, 20:10, 22:10"
410E,33.7 KM,Agara Junction,Jalahalli Cross,01:05 Min.,"07:05,  08:50,  10:50,  15:55,  18:00,  19:40,  21:45","08:40,  10:25,  12:20,  17:30,  19:35,  21:15,  23:15","05:30, 07:10, 08:45, 10:55, 15:55, 18:00, 19:40","07:00, 08:45, 10:20, 12:30, 17:30, 19:35, 21:15"
291A,22.5 KM,Agrahara Layout,Krishnarajendra Market,01:15 Min.,"06:45,  08:15,  09:15,  10:55,  15:50,  17:25,  18:45,  20:00,  21:40","07:55,  09:30,  10:25,  12:10,  17:00,  18:35,  19:55,  21:10,  22:50","05:30, 07:00, 08:00, 09:35, 10:55, 14:35, 16:10, 17:05, 18:40, 20:00","06:40, 08:10, 09:10, 10:50, 12:05, 15:45, 17:20, 18:15, 19:55, 21:10"
13H,20.5 KM,AGS Layout,Shivajinagar Bus Station,01:10 Min.,"06:00,  06:30,  08:30,  08:45,  11:25,  11:35,  14:00,  15:40,  16:50,  18:30,  19:15,  21:00","07:10,  07:25,  09:40,  09:45,  12:35,  15:00,  16:50,  17:50,  19:40,  20:15,  22:05","07:15, 07:30, 09:50, 10:10, 12:40, 15:05, 16:55, 17:55, 19:45, 20:20, 22:35","08:25, 08:40, 11:05, 11:20, 13:55, 16:20, 18:00, 19:10, 20:55, 21:35, 23:35"
